コード,名称,業種,市場
AX,アクソス・フィナンシャル (Axos Financial Inc),金融,NYSE
AXAS,アブラクサス・ペトロリアム (Abraxas Petroleum Corporation),エネルギー,Nasdaq
AXDX,アクセレレート・ダイアグノスティクス (Accelerate Diagnostics Inc),ヘルスケア,Nasdaq
AXGN,アクソゲン (AxoGen Inc),ヘルスケア,Nasdaq
AXGT,アクソバント・ジーン・セラピーズ (Axovant Gene Therapies Ltd),ヘルスケア,Nasdaq
AXL,アメリカン・アクスル・アンド・マニュファクチャリング (American Axle & Manufacturing Holdings Inc),一般消費財,NYSE
AXLA,AxcellaHealthInc (Axcella Health Inc),ヘルスケア,Nasdaq
AXNX,アクソニクス・モジュレーション・テクノロジーズ (Axonics Modulation Technologies Inc),ヘルスケア,Nasdaq
AXP,アメリカン・エキスプレス (American Express Co),金融,NYダウ S&P500
AXS,アクシス・キャピタル・ホールディングス (AXIS Capital Holdings Limited),金融,NYSE
AXSM,アクサム・セラピューティクス (Axsome Therapeutics Inc),ヘルスケア,Nasdaq
AXTA,アクサルタ･コーティング･システムズ (Axalta Coating Systems Ltd),素材,NYSE
AXTI,"AXT (AXT, Inc)",情報技術,Nasdaq
AYI,アキュイティ・ブランズ (Acuity Brands Inc),情報技術,NYSE
AYR,エアーキャッスル (Aircastle Limited),資本財,NYSE
AYX,アルテリックス (Alteryx Inc),情報技術,NYSE
AZN,アストラゼネカ (AstraZeneca PLC),ヘルスケア,NYSE
AZO,オートゾーン (AutoZone Inc),一般消費財,S&P500
AZPN,アスペン・テクノロジー (Aspen Technology Inc),情報技術,Nasdaq
AZRE,AzurePowerGlobalLtd (Azure Power Global Limited),公益事業,NYSE
AZRX,アズールレックス・バイオファーマ (AzurRx BioPharma Inc),ヘルスケア,Nasdaq
AZZ,エーゼットゼット (AZZ Inc),資本財,NYSE
B,バーンズ･グループ (Barnes Group Inc),資本財,NYSE
BA,ボーイング (Boeing Company),資本財,NYダウ S&P500
BABA,アリババ・グループ・ホールディング (Alibaba Group Holding Limited),一般消費財,NYSE
BABY,ネイタス･メディカル (Natus Medical Incorporated),ヘルスケア,Nasdaq
BAC,バンク・オブ・アメリカ (Bank of America Corp),金融,S&P500
BAH,ブーズ・アレン・ハミルトン (Booz Allen Hamilton Holding Corporation),資本財,NYSE
BAK,ブラスケム (Braskem S.A),素材,NYSE
BAL,iPath Series B Bloomberg Cotton Subindex Total Ret (iPath Series B Bloomberg Cotton Subindex Total Ret),,
BAM,ブルックフィールド・アセット・マネージメント クラスA (Brookfield Asset Management Inc),金融,NYSE
BANC,バンク・オブ・カリフォルニア (Banc of California Inc),金融,NYSE
BAND,バンドウィズ　クラスA (Bandwidth Inc),情報技術,Nasdaq
BANF,バンクファースト (BancFirst Corporation),金融,Nasdaq
BANR,バナー・コーポレーション (Banner Corporation),金融,Nasdaq
BAP,クレディコープ (Credicorp Ltd),金融,NYSE
BAX,バクスター・インターナショナル (Baxter International Inc.),ヘルスケア,S&P500
BB,ブラックベリー (BlackBerry Limited),情報技術,NYSE
BBBY,ベッド・バス・アンド・ビヨンド (Bed Bath & Beyond Inc),一般消費財,Nasdaq
BBD,バンコ・ブラデスコ (Banco Bradesco S.A),金融,NYSE
BBDC,トライアングル・キャピタル (Barings BDC Inc),金融,NYSE
BBH,VanEck Vectors Biotech ETF (VanEck Vectors Biotech ETF),,
BBI,"ブリッケル・バイオテック (Brickell Biotech, Inc)",ヘルスケア,Nasdaq
BBIO,"BridgebioPharmaInc (BridgeBio Pharma, Inc)",ヘルスケア,Nasdaq
BBL,BHPグループ (BHP Group),素材,NYSE
BBQ,"BBQHoldingsInc (BBQ Holdings, Inc)",一般消費財,Nasdaq
BBVA,ビルバオ・ビスカヤ・アルヘンタリア銀行 (Banco Bilbao Vizcaya Argentaria S.A),金融,NYSE
BBW,ビルド・ア・ベア・ワークショップ (Build-A-Bear Workshop Inc),一般消費財,NYSE
BBY,ベストバイ (Best Buy Co. Inc.),一般消費財,S&P500
BC,ブランズウィック (Brunswick Corporation),一般消費財,NYSE
BCBP,ＢＣＢバンコープ (BCB Bancorp Inc),金融,Nasdaq
BCC,ボイジー・カスケード・カンパニー (Boise Cascade Company),素材,NYSE
BCE,ビーシーイー (BCE Inc),電気通信,NYSE
BCEI,ボナンザ・クリーク・エナジー (Bonanza Creek Energy Inc),エネルギー,NYSE
BCEL,"AtrecaInc (Atreca, Inc)",ヘルスケア,Nasdaq
BCLI,ブレインストーム・セル・セラピューティクス (Brainstorm Cell Therapeutics Inc),ヘルスケア,Nasdaq
BCML,BaycomCorp (BayCom Corp),金融,Nasdaq
BCO,ブリンクス (The Brinks Company),資本財,NYSE
BCOR,ブルコラ (Blucora Inc),金融,Nasdaq
BCOV,ブライトコーブ (Brightcove Inc),情報技術,Nasdaq
BCRX,バイオクリスト・ファーマシューティカルズ (BioCryst Pharmaceuticals Inc),ヘルスケア,Nasdaq
BCS,バークレイズ (Barclays PLC),金融,NYSE
BDC,ベルデン (Belden Inc),情報技術,NYSE
BDGE,ブリッジ・バンコープ (Bridge Bancorp Inc),金融,Nasdaq
BDR,ブロンダー・タン・ラボラトリーズ (Blonder Tongue Laboratories Inc),情報技術,NYSE
BDSI,バイオデリバリー・サイエンシズ・インターナショナル (BioDelivery Sciences International Inc),ヘルスケア,Nasdaq
BDTX,"BlackDiamondTherapeuticsI (BLACK DIAMOND THERAPEUTICS, INC.)",,Nasdaq
BDX,ベクトン・ディッキンソン (Becton Dickinson),ヘルスケア,S&P500
BE,ブルーム・エナジー クラスA (Bloom Energy Corporation),公益事業,NYSE
BEAT,バイオテレメトリ (BioTelemetry Inc),ヘルスケア,Nasdaq
BECN,ビーコン・ルーフィング・サプライ (Beacon Roofing Supply Inc),素材,Nasdaq
BELFB,ベル・フューズ クラスB (Bel Fuse Inc),情報技術,Nasdaq
BEN,フランクリン・リソーシズ (Franklin Resources),金融,S&P500
BERY,ベリー・プラスチックス・グループ (Berry Global Group Inc),素材,NYSE
BFAM,ブライトホライゾンズ・ファミリーソリューション　 (Bright Horizons Family Solutions Inc),生活必需品,NYSE
BFC,BankFirstCorp (Bank First Corporation),金融,Nasdaq
BFIN,バンクフィナンシャル (BankFinancial Corporation),金融,Nasdaq
BFST,"BusinessFirstBancsharesIn (Business First Bancshares, Inc)",金融,Nasdaq
BFYT,"ベネフィット・テクノロジーズ (Benefytt Technologies, Inc)",,Nasdaq
BG,ブンゲ (Bunge Limited),生活必需品,NYSE
BGCP,BGCパートナーズ クラスA (BGC Partners Inc),金融,Nasdaq
BGFV,ビッグ５スポーティング・グッズ (Big 5 Sporting Goods Corporation),一般消費財,Nasdaq
BGNE,ベイジーン (BeiGene Ltd),ヘルスケア,Nasdaq
BGS,ビー・アンド・ジー・フーズ (B&G Foods Inc),生活必需品,NYSE
BGSF,"BGスタッフィング (BG Staffing, Inc)",資本財,NYSE
BH,ビグラリ・ホールディングス (Biglari Holdings Inc),一般消費財,NYSE
BHB,バー・ハーバー・バンクシェアーズ (Bar Harbor Bankshares),金融,NYSE
BHC,バリアント・ファーマシューティカルズ・インターナショナル (Bausch Health Companies Inc),ヘルスケア,NYSE
BHE,ベンチマーク・エレクトロニクス (Benchmark Electronics Inc),情報技術,NYSE
BHF,ブライトハウス・ファイナンシャル (Brighthouse Financial Inc),金融,Nasdaq S&P500
BHLB,バークシャイアヒルズ銀行 (Berkshire Hills Bancorp Inc),金融,NYSE
BHP,BHPビリトン (BHP Group Limited),素材,NYSE
BHVN,バイオヘイブン・ファーマシューティカル・ホールディング (Biohaven Pharmaceutical Holding Company Ltd),ヘルスケア,NYSE
BIDU,バイドゥ (Baidu Inc),情報技術,Nasdaq
BIG,ビッグ・ロッツ (Big Lots Inc),一般消費財,NYSE
BIIB,バイオジェン (Biogen Inc.),ヘルスケア,Nasdaq S&P500
BILI,ビリビリ (Bilibili Inc),情報技術,Nasdaq
BILL,"Bill.ComHoldingsInc (Bill.com Holdings, Inc)",情報技術,NYSE
BIMI,NFエナジー・セイビング (BOQI International Medical Inc),資本財,Nasdaq
BIO,バイオラド・ラボラトリーズ クラスA (Bio-Rad Laboratories),ヘルスケア,NYSE
BIOC,バイオセプト (Biocept Inc),ヘルスケア,Nasdaq
BITA,ビットオート・ホールディングス (Bitauto Holdings Limited),情報技術,NYSE
BIV,Vanguard Intermediate-Term Bond Index Fund ETF Sha (Vanguard Intermediate-Term Bond Index Fund ETF Sha),,
BJ,"BJ'sWholesaleClubHoldings (BJ's Wholesale Club Holdings, Inc)",生活必需品,NYSE
BJRI,ビージェイズ・レストラン (BJs Restaurants Inc),一般消費財,Nasdaq
BK,バンク・オブ・ニューヨーク・メロン (The Bank of New York Mellon),金融,S&P500
BKD,ブルックデール・シニア・リビング (Brookdale Senior Living Inc),ヘルスケア,NYSE
BKE,バックル (The Buckle Inc),一般消費財,NYSE
BKH,ブラック・ヒルズ (Black Hills Corporation),公益事業,NYSE
BKI,ブラック・ナイト (Black Knight Inc),情報技術,NYSE
BKNG,プライスライン・グループ (Booking Holdings Inc),一般消費財,Nasdaq S&P500
BKR,ベイカー・ヒューズ (Baker Hughes Co),エネルギー,NYSE
BKU,バンクユナイテッド (BankUnited Inc),金融,NYSE
BL,ブラックライン (BlackLine Inc),情報技術,Nasdaq
BLBD,ブルー・バード (Blue Bird Corporation),一般消費財,Nasdaq
BLCM,ベリカム・ファーマシューティカルズ (Bellicum Pharmaceuticals Inc),ヘルスケア,Nasdaq
BLD,トップビルド (TopBuild Corp),素材,NYSE
BLDP,バラード・パワー・システムズ (Ballard Power Systems Inc),資本財,Nasdaq
BLDR,ビルダーズ・ファーストソース (Builders FirstSource Inc),素材,Nasdaq
BLFS,バイオライフ・ソリューションズ (BioLife Solutions Inc),ヘルスケア,Nasdaq
BLK,ブラックロック (BlackRock),金融,S&P500
BLKB,ブラックボー (Blackbaud Inc),情報技術,Nasdaq
BLL,ボール (Ball Corp),素材,S&P500
BLMN,ブルーミン・ブランズ (Bloomin Brands Inc),一般消費財,Nasdaq
BLNK,ブリンク・チャージング (Blink Charging Co),資本財,Nasdaq
BLPH,ベレロフォン・セラピューティクス (Bellerophon Therapeutics Inc),ヘルスケア,Nasdaq
BLUE,ブルーバード・バイオ (bluebird bio Inc),ヘルスケア,Nasdaq
BLV,Vanguard Long-Term Bond Index Fund ETF Shares (Vanguard Long-Term Bond Index Fund ETF Shares),,
BLX,バンコ・ラティーノアメリカーノ (Banco Latinoamericano de Comercio Exterior S.A),金融,NYSE
BMA,バンコ・マクロ (Banco Macro S.A),金融,NYSE
BMCH,BMCストック・ホールディングス (BMC Stock Holdings Inc),素材,Nasdaq
BMI,バッジャー・メーター (Badger Meter Inc),情報技術,NYSE
BMO,バンク・オブ・モントリオール (Bank of Montreal),金融,NYSE
BMRC,バンク・オブ・マリン・バンコープ (Bank of Marin Bancorp),金融,Nasdaq
BMRN,バイオマリン・ファーマシューティカル (BioMarin Pharmaceutical Inc),ヘルスケア,Nasdaq
BMTC,ブリン・マー・バンク (Bryn Mawr Bank Corporation),金融,Nasdaq
BMY,ブリストル・マイヤーズ・スクイブ (Bristol-Myers Squibb),ヘルスケア,S&P500
BND,Vanguard Total Bond Market Index Fund ETF Shares (Vanguard Total Bond Market Index Fund ETF Shares),,
BNDX,Vanguard Total International Bond Index Fund ETF S (Vanguard Total International Bond Index Fund ETF S),,
BNED,バーンズ＆ノーブル・エデュケーション (Barnes & Noble Education Inc),一般消費財,NYSE
BNFT,ベネフィット・フォーカス (Benefitfocus Inc),情報技術,Nasdaq
BNGO,バイオナノ・ジェノミクス (Bionano Genomics Inc),ヘルスケア,Nasdaq
BNS,バンク・オブ・ノバ・スコシア (The Bank of Nova Scotia),金融,NYSE
BNTX,BioNTechSE (BioNTech SE),ヘルスケア,Nasdaq
BOCH,バンク・オブ・コマース・ホールディングス (Bank of Commerce Holdings),金融,Nasdaq
BOH,バンク・オブ・ハワイ (Bank of Hawaii Corporation),金融,NYSE
BOKF,ビーオーケー・フィナンシャル・コーポレーション (BOK Financial Corporation),金融,Nasdaq
BOMN,ボストン・オマハ (Boston Omaha Corporation),資本財,Nasdaq
BOOM,DMCグローバル (DMC Global Inc),素材,Nasdaq
BOOT,ブート・バーン・ホールディングス (Boot Barn Holdings Inc),一般消費財,NYSE
BOTZ,Global X Robotics & Artificial Intelligence ETF (Global X Robotics & Artificial Intelligence ETF),,
BOX,ボックス クラスA (Box Inc),情報技術,NYSE
BP,ビーピー (BP p.l.c),エネルギー,NYSE
BPFH,ボストン・プライベート・フィナンシャル・ホールディングス (Boston Private Financial Holdings Inc),金融,Nasdaq
BPMC,ブループリント・メディスン (Blueprint Medicines Corporation),ヘルスケア,Nasdaq
BR,ブロードリッジ・ファイナンシャル・ソリューションズ (Broadridge Financial Solutions),情報技術,S&P500
BRBR,"BellRingBrandsInc (BellRing Brands, Inc)",生活必需品,NYSE
BRC,ブレイディー・コーポレーション クラスA (Brady Corporation),資本財,NYSE
BRF,VanEck Vectors Brazil Small-Cap ETF (VanEck Vectors Brazil Small-Cap ETF),,
BRFS,ＢＲＦ (BRF S.A),生活必需品,NYSE
BRID,ブリッジフォード・フーズ (Bridgford Foods Corporation),生活必需品,Nasdaq
BRKB,バークシャー・ハサウェイ (Berkshire Hathaway),金融,S&P500
BRKL,ブルックリン・バンコープ (Brookline Bancorp Inc),金融,Nasdaq
BRKR,ブルカー (Bruker Corporation),ヘルスケア,Nasdaq
BRKS,ブルックス・オートメーション (Brooks Automation Inc),情報技術,Nasdaq
BRMK,BroadmarkRealtyCapitalInc (Broadmark Realty Capital Inc),金融,NYSE
BRO,ブラウン・アンド・ブラウン (Brown & Brown Inc),金融,NYSE
BROG,BroogeHoldingsLtd (Brooge Holdings Limited),エネルギー,Nasdaq
BRP,"BRPGroupInc (BRP Group, Inc)",金融,Nasdaq
BRY,BerryCorp (Berry Corporation),エネルギー,NYSE
BSBR,バンコ・サンタンデール・ブラジル (Banco Santander (Brasil) S.A),金融,NYSE
BSET,バセット・ファニチャー・インダストリーズ (Bassett Furniture Industries Incorporated),一般消費財,Nasdaq
BSGM,"バイオシグ・テクノロジーズ (BioSig Technologies, Inc)",ヘルスケア,Nasdaq
BSIG,ブライトスフィア・インベストメント・グループ (BrightSphere Investment Group Inc),金融,NYSE
BSMX,"バンコ・サンタンデール・メヒコ・インスティトゥシオン (Banco Santander Mexico, S.A., Institucion de Banca)",金融,NYSE
BSQR,ビースクウエア (BSQUARE Corporation),情報技術,Nasdaq
BSRR,シエラ・バンコープ (Sierra Bancorp),金融,Nasdaq
BSTC,バイオスペシフィックス・テクノロジーズ (BioSpecifics Technologies Corp),ヘルスケア,Nasdaq
BSV,Vanguard Short-Term Bond Index Fund ETF Shares (Vanguard Short-Term Bond Index Fund ETF Shares),,
BSX,ボストン・サイエンティフィック (Boston Scientific),ヘルスケア,S&P500
BTAI,"BioxcelTherapeuticsInc (BioXcel Therapeutics, Inc)",ヘルスケア,Nasdaq
BTE,ベイテックス・エナジー (Baytex Energy Corp),エネルギー,NYSE
BTG,B2ゴールド (B2Gold Corp),素材,
BTI,ブリティッシュアメリカンタバコ (British American Tobacco p.l.c),生活必需品,NYSE
BTU,ピーボディ・エナジー (Peabody Energy Corporation),エネルギー,NYSE
BUD,アンハイザー・ブッシュ・インベブ (Anheuser-Busch InBev SA/NV),生活必需品,NYSE
BURL,ブライトン・ストアーズ (Burlington Stores Inc),一般消費財,NYSE
BUSE,ファースト・ビューシー (First Busey Corporation),金融,Nasdaq
BV,"BrightViewHoldingsInc (BrightView Holdings, Inc)",資本財,NYSE
BWA,ボルグワーナー (BorgWarner),一般消費財,S&P500
BWB,"BridgewaterBancsharesInc (Bridgewater Bancshares, Inc)",金融,Nasdaq
BWEN,ブロードウィンド・エナジー (Broadwind Energy Inc),資本財,Nasdaq
BWFG,"バンクウェル・ファイナンシャル・グループ (Bankwell Financial Group, Inc)",金融,Nasdaq
BWMX,"BetterwaredeMexicoSAdeC (Betterware de Mexico, S.A. de C.V)",,Nasdaq
BWX,SPDR Bloomberg Barclays International Treasury Bon (SPDR Bloomberg Barclays International Treasury Bon),,
BWXT,BWXテクノロジーズ (BWX Technologies Inc),資本財,NYSE
BX,ブラックストーン・グループ (The Blackstone Group Inc),金融,NYSE
BXC,ブルーリンクス・ホールディングス (BlueLinx Holdings Inc),素材,NYSE
BXG,ブルーグリーン・バケーションズ (Bluegreen Vacations Corporation),一般消費財,NYSE
BXRX,"BaudaxBioInc (Baudax Bio, Inc)",,Nasdaq
BY,"BylineBancorpInc (Byline Bancorp, Inc)",金融,NYSE
BYND,"ビヨンド・ミート (Beyond Meat, Inc)",生活必需品,Nasdaq
BYSI,BeyondspringInc (BeyondSpring Inc),ヘルスケア,Nasdaq
BZH,ビーザー・ホームズＵＳＡ (Beazer Homes USA Inc),一般消費財,NYSE
BZUN,バオズン (Baozun Inc),一般消費財,Nasdaq
C,シティグループ (Citigroup Inc.),金融,S&P500
CABA,"CabalettaBioInc (Cabaletta Bio, Inc)",ヘルスケア,Nasdaq
CABO,ケーブル・ワン (Cable One Inc),電気通信,NYSE
CAC,カムデン・ナショナル (Camden National Corporation),金融,Nasdaq
CACC,クレジット・アクセプタンス (Credit Acceptance Corporation),金融,Nasdaq
CACI,CACIインターナショナル クラスA (CACI International Inc),情報技術,NYSE
CADE,ケイデンス・バンコープ (Cadence Bancorporation),金融,NYSE
CAG,コナグラ・ブランズ (Conagra Brands),生活必需品,S&P500
